"ID","Collection","ENS","Minting Date","Tx Count","Power"
"4060565","0x225468d0bb1f12bdbe842df596d575041b2b6776","","Tue, 15 Feb 2022 14:18:00 GMT","1","25"
"4060641","0xd7e1df3c6d6f974f2aed3d13cec917217c9a7187","poapy.eth","Tue, 15 Feb 2022 14:27:50 GMT","1","2683"
"4060645","0x88dda53a51869018030e4390a477d45100722b89","","Tue, 15 Feb 2022 14:28:05 GMT","1","23"
"4060701","0xa30da0c29205ee5c88832dffd200d837e33f2701","","Tue, 15 Feb 2022 14:33:30 GMT","1","8"
"4060756","0x206217cf39a02abdef61b6764c38265eb3a3e31b","mumaren.eth","Tue, 15 Feb 2022 14:38:40 GMT","1","10"
"4060783","0xd3af60daca8ad8a6e00d46d43dc073af5647768d","","Tue, 15 Feb 2022 14:41:15 GMT","4","94"
"4060807","0xd593be58397dcf6e558d5818ffc358739dc8063c","xiaqiong791019.eth","Tue, 15 Feb 2022 14:43:00 GMT","1","280"
"4060810","0xdfb60dcfc30895ad97d810b1b5c901e00af15da3","caotic.eth","Tue, 15 Feb 2022 14:43:20 GMT","1","2"
"4060891","0xcf0fb4d249b8c2f17dd805ac2b6f28ffc3d0049c","bsklwd2.eth","Tue, 15 Feb 2022 14:52:15 GMT","2","291"
"4060964","0xb7b53fe02da4395a562cb51bc8f955e021665dce","","Tue, 15 Feb 2022 14:58:00 GMT","1","39"
"4061015","0x72d96e2004240dc68de50ebae225c568068955f0","kevincon.eth","Tue, 15 Feb 2022 15:03:15 GMT","1","5"
"4061468","0x76282a2d0371118ec586c6c203005e090f365cdd","mmszdm818.eth","Tue, 15 Feb 2022 15:35:05 GMT","1","1615"
"4061499","0x23ac67bbe96202abe0c4bc28c541ada409dad5d6","0xbyte.eth","Tue, 15 Feb 2022 15:37:45 GMT","1","52"
"4061584","0x8d65c535bca5f3ef7ff460cdb0d50cf7eb8a85b4","","Tue, 15 Feb 2022 15:45:30 GMT","1","61"
"4061822","0x0fa12aa74fd010ba3b31847a229c59ce720f5881","","Tue, 15 Feb 2022 16:04:45 GMT","1","265"
"4062050","0xf9538f86807a729e6689bce0a1ea1b00987d63ab","","Tue, 15 Feb 2022 16:25:50 GMT","1","1"
"4062292","0x9c33357c831628b5de9e745bca84d29a76e415c7","joens.eth","Tue, 15 Feb 2022 16:57:05 GMT","1","109"
"4062537","0xff33517c9c5cd3f6050372671d62e2ca0d4319fc","yanchun.eth","Tue, 15 Feb 2022 17:28:45 GMT","1","167"
"4066279","0xc417b90fcadbbad8dd6a4d710b8da6e76e0e225d","xcr0722.eth","Tue, 15 Feb 2022 22:44:45 GMT","1","80"
"4068035","0x82796899c1bcc83badf7acb09c63e6f0ffaf8459","","Wed, 16 Feb 2022 00:32:55 GMT","1","51"
"4068057","0x3efa7a0912a35295ef8f448be069632e68878358","wulin.eth","Wed, 16 Feb 2022 00:36:55 GMT","1","931"
"4068260","0xda4023f9a8a876db1e2e0d50257a24b86945648a","601665.eth","Wed, 16 Feb 2022 01:04:45 GMT","2","279"
"4068359","0x0f39a234676a145a1a944c6666b500ac8a16d74f","aminkorfi.eth","Wed, 16 Feb 2022 01:25:50 GMT","3","394"
"4068366","0xdb19b331d9b465755ba03339b9e856bb3bc87478","","Wed, 16 Feb 2022 01:26:40 GMT","1","307"
"4068397","0x49a7de07d0051961abf7e3d30aabcc4d42716586","zksyncc.eth","Wed, 16 Feb 2022 01:31:35 GMT","2","59"
"4068672","0xcc79cba25d727af25e352b019c96cfddf0ec3281","","Wed, 16 Feb 2022 02:00:25 GMT","1","5"
"4069719","0xf61e6e49db6bb611ec0ec48f6449da9299b6014e","","Wed, 16 Feb 2022 02:39:40 GMT","1","62"
"4069806","0xbc8a78efe2f5fab602224f07441cd67cb841f7c4","","Wed, 16 Feb 2022 02:40:45 GMT","1","1"
"4069946","0x0b88a0c1f80d600f53e5521793a55d88ab314e9c","","Wed, 16 Feb 2022 02:42:30 GMT","1","207"
"4072258","0xd3e42c3eaf10a472ab611f7810f803c9817129bd","","Wed, 16 Feb 2022 06:14:55 GMT","1","12"
"4074544","0x85843b857c53df039ebbd3882c4ecdafcf06fff0","czweb3.eth","Wed, 16 Feb 2022 12:19:10 GMT","1","29"
"4082713","0x18b82d54e8d9bedc41f51a81b2eb1f393cd4a009","","Thu, 17 Feb 2022 01:32:10 GMT","1","12"
"4179887","0xda79352f3ee0d726288eaf7a73db0504f349e661","freetree.eth","Wed, 23 Feb 2022 09:09:50 GMT","1","10"
