sequence_id,address,tx_type,tokenid,amount,rate,blocktimestamp,pool
180,0x60FD08ffac8d18A602bcd4b479E137e802053a18,Deposit,0x20d8,10.0,0.03,1667689729,ZigZag-USDC-2Mo
297,0x6f8eeCf0057770275026e1b0B901eC0fc294A0b7,Deposit,0x208d,100.000001,0.05,1667615094,ZigZag-USDC-2Mo
304,0xA47636F56E0638bC61fd40034bF84EFf600d9A78,Deposit,0x2088,500.0,0.14,1667610012,ZigZag-USDC-2Mo
738,0x59C534217226Fd947A14B87C8Db5f5857C862671,Deposit,0x1f73,10.0,0.02,1667451848,ZigZag-USDC-2Mo
803,0xF146cD1b66Fa5dA8736858486AD8c57a03282ec8,Deposit,0x1f46,990.0,0.13,1667426273,ZigZag-USDC-2Mo
814,0x1c3E8E173D429ce2C90b3CA98976Ac0a865149A0,Deposit,0x1f3d,10.0,0.02,1667413043,ZigZag-USDC-2Mo
871,0x28cB6f787833a5AeC2Fd89bcb5Da89a5884dc15F,Deposit,0x1f14,12.711458,0.02,1667399404,ZigZag-USDC-2Mo
872,0xF367C5c87Dc5535214087e116479af230aab8372,Deposit,0x1f13,12.536267,0.02,1667398786,ZigZag-USDC-2Mo
1063,0xF7337F95A2D5202E5Dc783e1224B74A510b5dFa4,Deposit,0x1e7e,11.0,0.1,1667366950,ZigZag-USDC-2Mo
1169,0x74F82C0b0646A92021c71bC8897E634C3add96dD,Deposit,0x1e28,10.0,0.02,1667343651,ZigZag-USDC-2Mo
1222,0x064F418394f09A47f744cfCCfBc7b59915dcF2FB,Deposit,0x1dfc,21.0,0.04,1667313659,ZigZag-USDC-2Mo
1292,0xE734cBA058AC772E9041A73bd9B7299bbeadB308,Deposit,0x1dc0,50.0,0.1,1667307973,ZigZag-USDC-2Mo
1370,0x8aFFa01FA90c3e504d29De461d7f1610B9f1E98a,Deposit,0x1d80,158.0,0.04,1667174239,ZigZag-USDC-2Mo
1416,0xd5BD9464eB1A73Cca1970655708AE4F560Efc6D1,Deposit,0x1d5d,11.0,0.04,1666991032,ZigZag-USDC-2Mo
1443,0x1A518A3E674A76324058822CA5D8688cFfC5033b,Deposit,0x1d48,1000.0,0.11,1666890690,ZigZag-USDC-2Mo
1458,0x4370adfF8416177E25FD5915add66B195D572C57,Deposit,0x1d3f,15.0,0.05,1666863384,ZigZag-USDC-2Mo
1468,0xa8Ea1D3A26652996d1342880D1708C6742f33bCB,Deposit,0x1d39,11.0,0.04,1666846764,ZigZag-USDC-2Mo
1469,0x5b05DF99fC93d76d31603427798c58fe15b62431,Deposit,0x1d38,12.0,0.04,1666845339,ZigZag-USDC-2Mo
1476,0xD506Fb416B0ad8DBf7859B9B38c435405E3d1110,Deposit,0x1d33,11.0,0.05,1666842289,ZigZag-USDC-2Mo
1506,0x25CC275CFE3Cce1700E816e00d4CD1f60872038A,Deposit,0x1d1a,101.0,0.04,1666782517,ZigZag-USDC-2Mo
1532,0xDcaA338aA614415cFd99C6072E304436315ba3b1,Deposit,0x1d06,10.0,0.04,1666731402,ZigZag-USDC-2Mo
1611,0x0c2D0db3C18c691e4d1E4490FE6217c9489b6Ff8,Deposit,0x1ccb,20.0,0.03,1666647220,ZigZag-USDC-2Mo
1623,0x870A25B4b0D56cbEe176f783b9f1031d6C7590F7,Deposit,0x1cc2,48.0,0.04,1666633697,ZigZag-USDC-2Mo
1631,0xB07CC36fa7d15FE4eeb90e301f200C93B4f4E732,Deposit,0x1cbb,23.692952,0.04,1666621370,ZigZag-USDC-2Mo
1647,0x1f259288aEfc9bBdbfD0cf0547A086326f59bD0c,Deposit,0x1caf,1000.0,0.04,1666598726,ZigZag-USDC-2Mo
1650,0x0D3909562DA433AC8dE3e7c412Baf58a900f535C,Deposit,0x1cad,2500.0,0.04,1666598266,ZigZag-USDC-2Mo
1658,0x9C330a97c3DD093F4b514aF6CC2f531AC0Cb084b,Deposit,0x1ca6,10.0,0.15,1666580910,ZigZag-USDC-2Mo
